,number_of_vehicle_parked,power_demand
2017-07-28 02:04:00,17776.0,0.0
2017-07-28 02:05:00,17780.0,0.0
2017-07-28 02:06:00,17781.0,0.0
2017-07-28 02:07:00,17780.0,0.0
2017-07-28 02:08:00,17780.0,0.0
2017-07-28 02:09:00,17783.0,0.0
2017-07-28 02:10:00,17783.0,0.0
2017-07-28 02:11:00,17783.0,0.0
2017-07-28 02:12:00,17784.0,0.0
2017-07-28 02:13:00,17784.0,0.0
2017-07-28 02:14:00,17784.0,0.0
2017-07-28 02:15:00,17781.0,0.0
2017-07-28 02:16:00,17781.0,0.0
2017-07-28 02:17:00,17783.0,0.0
2017-07-28 02:18:00,17783.0,0.0
2017-07-28 02:19:00,17784.0,0.0
2017-07-28 02:20:00,17788.0,0.0
2017-07-28 02:21:00,17788.0,0.0
2017-07-28 02:22:00,17787.0,0.0
2017-07-28 02:23:00,17787.0,0.0
2017-07-28 02:24:00,17787.0,0.0
2017-07-28 02:25:00,17790.0,0.0
2017-07-28 02:26:00,17792.0,0.0
2017-07-28 02:27:00,17792.0,0.0
2017-07-28 02:28:00,17793.0,0.0
2017-07-28 02:29:00,17793.0,0.0
2017-07-28 02:30:00,17783.0,0.0
2017-07-28 02:31:00,17783.0,0.0
2017-07-28 02:32:00,17782.0,0.0
2017-07-28 02:33:00,17783.0,0.0
2017-07-28 02:34:00,17783.0,0.0
2017-07-28 02:35:00,17782.0,0.0
2017-07-28 02:36:00,17782.0,0.0
2017-07-28 02:37:00,17783.0,0.0
2017-07-28 02:38:00,17783.0,0.0
2017-07-28 02:39:00,17785.0,0.0
2017-07-28 02:40:00,17785.0,0.0
2017-07-28 02:41:00,17784.0,0.0
2017-07-28 02:42:00,17785.0,0.0
2017-07-28 02:43:00,17785.0,0.0
2017-07-28 02:44:00,17786.0,0.0
2017-07-28 02:45:00,17785.0,0.0
2017-07-28 02:46:00,17785.0,0.0
2017-07-28 02:47:00,17785.0,0.0
2017-07-28 02:48:00,17785.0,0.0
2017-07-28 02:49:00,17785.0,0.0
2017-07-28 02:50:00,17787.0,0.0
2017-07-28 02:51:00,17787.0,0.0
2017-07-28 02:52:00,17787.0,0.0
2017-07-28 02:53:00,17787.0,0.0
2017-07-28 02:54:00,17787.0,0.0
2017-07-28 02:55:00,17788.0,0.0
2017-07-28 02:56:00,17788.0,0.0
2017-07-28 02:57:00,17788.0,0.0
2017-07-28 02:58:00,17788.0,0.0
2017-07-28 02:59:00,17788.0,0.0
2017-07-28 03:00:00,17793.0,0.0
2017-07-28 03:01:00,17791.0,0.0
2017-07-28 03:02:00,17792.0,0.0
2017-07-28 03:03:00,17792.0,0.0
2017-07-28 03:04:00,17792.0,0.0
2017-07-28 03:05:00,17792.0,0.0
2017-07-28 03:06:00,17792.0,0.0
2017-07-28 03:07:00,17792.0,0.0
2017-07-28 03:08:00,17793.0,0.0
2017-07-28 03:09:00,17793.0,0.0
2017-07-28 03:10:00,17797.0,0.0
2017-07-28 03:11:00,17796.0,0.0
2017-07-28 03:12:00,17796.0,0.0
2017-07-28 03:13:00,17796.0,0.0
2017-07-28 03:14:00,17796.0,0.0
2017-07-28 03:15:00,17797.0,0.0
2017-07-28 03:16:00,17797.0,0.0
2017-07-28 03:17:00,17797.0,0.0
2017-07-28 03:18:00,17797.0,0.0
2017-07-28 03:19:00,17797.0,0.0
2017-07-28 03:20:00,17794.0,0.0
2017-07-28 03:21:00,17794.0,0.0
2017-07-28 03:22:00,17795.0,0.0
2017-07-28 03:23:00,17795.0,0.0
2017-07-28 03:24:00,17795.0,0.0
2017-07-28 03:25:00,17795.0,0.0
2017-07-28 03:26:00,17795.0,0.0
2017-07-28 03:27:00,17795.0,0.0
2017-07-28 03:28:00,17795.0,0.0
2017-07-28 03:29:00,17796.0,0.0
2017-07-28 03:30:00,17790.0,0.0
2017-07-28 03:31:00,17790.0,0.0
2017-07-28 03:32:00,17791.0,0.0
2017-07-28 03:33:00,17792.0,0.0
2017-07-28 03:34:00,17792.0,0.0
2017-07-28 03:35:00,17793.0,0.0
2017-07-28 03:36:00,17793.0,0.0
2017-07-28 03:37:00,17793.0,0.0
2017-07-28 03:38:00,17793.0,0.0
2017-07-28 03:39:00,17793.0,0.0
2017-07-28 03:40:00,17793.0,0.0
2017-07-28 03:41:00,17794.0,0.0
2017-07-28 03:42:00,17793.0,0.0
2017-07-28 03:43:00,17793.0,0.0
2017-07-28 03:44:00,17794.0,0.0
2017-07-28 03:45:00,17795.0,0.0
2017-07-28 03:46:00,17794.0,0.0
2017-07-28 03:47:00,17794.0,0.0
2017-07-28 03:48:00,17793.0,0.0
2017-07-28 03:49:00,17793.0,0.0
2017-07-28 03:50:00,17796.0,0.0
2017-07-28 03:51:00,17796.0,0.0
2017-07-28 03:52:00,17796.0,0.0
2017-07-28 03:53:00,17796.0,0.0
2017-07-28 03:54:00,17796.0,0.0
2017-07-28 03:55:00,17798.0,0.0
2017-07-28 03:56:00,17799.0,0.0
2017-07-28 03:57:00,17801.0,0.0
2017-07-28 03:58:00,17803.0,0.0
2017-07-28 03:59:00,17805.0,0.0
2017-07-28 04:00:00,17739.0,0.0
2017-07-28 04:01:00,17735.0,0.0
2017-07-28 04:02:00,17735.0,0.0
2017-07-28 04:03:00,17735.0,0.0
2017-07-28 04:04:00,17732.0,0.0
2017-07-28 04:05:00,17732.0,0.0
2017-07-28 04:06:00,17729.0,0.0
2017-07-28 04:07:00,17729.0,0.0
2017-07-28 04:08:00,17728.0,0.0
2017-07-28 04:09:00,17727.0,0.0
2017-07-28 04:10:00,17726.0,0.0
2017-07-28 04:11:00,17730.0,0.0
2017-07-28 04:12:00,17733.0,0.0
2017-07-28 04:13:00,17733.0,0.0
2017-07-28 04:14:00,17733.0,0.0
2017-07-28 04:15:00,17720.0,0.0
2017-07-28 04:16:00,17719.0,0.0
2017-07-28 04:17:00,17719.0,0.0
2017-07-28 04:18:00,17718.0,0.0
2017-07-28 04:19:00,17715.0,0.0
2017-07-28 04:20:00,17714.0,0.0
2017-07-28 04:21:00,17714.0,0.0
2017-07-28 04:22:00,17714.0,0.0
2017-07-28 04:23:00,17715.0,0.0
2017-07-28 04:24:00,17716.0,0.0
2017-07-28 04:25:00,17709.0,0.0
2017-07-28 04:26:00,17709.0,0.0
2017-07-28 04:27:00,17707.0,0.0
2017-07-28 04:28:00,17706.0,0.0
2017-07-28 04:29:00,17707.0,0.0
2017-07-28 04:30:00,17650.0,0.0
2017-07-28 04:31:00,17649.0,0.0
