1.5mv2g,netload,uncontrolled,Pmax,netload,uncontrolled,pmin,netload,uncontrolled,rampup,netload,uncontrolled,rampdown,,,1.5mv1g,netload,uncontrolled,pamx,netload,uncontrolled,pmin,netload,uncontrolled,rampup,netload,uncontrolled,rampdown
88,29551904.08,30572781.45,30828000.8,9732704.928,10753582.3,11008801.65,18221454.42,19242331.79,19126730.67,23794299.16,24815176.53,23418680.12,,,,29551904.08,30572781.45,30828000.8,9732704.928,10753582.3,11008801.65,18221454.42,19242331.79,18456435.53,23794299.16,24815176.53,24011261.23
89,29352135.42,30373012.8,30628232.14,9484568.467,10505445.84,10760665.19,18087341.76,19108219.14,18854403.91,23981003.58,25001880.96,23382738.84,,,,29352135.42,30373012.8,30628232.14,9484568.467,10505445.84,10760665.19,18087341.76,19108219.14,18228510.37,23981003.58,25001880.96,24098254.83
90,29090933.23,30111810.6,30367029.95,9289050.681,10309928.06,10565147.4,17988140.69,19009018.06,18560510.97,24174615.8,25195493.17,23324746.43,,,,29090933.23,30111810.6,30367029.95,9289050.681,10309928.06,10565147.4,17988140.69,19009018.06,17988140.69,24174615.8,25195493.17,24174615.8
91,28911821.69,29932699.07,30187918.41,8993929.334,10014806.71,10270026.05,17674881.38,18695758.75,18245051.84,24218222.53,25239099.91,23244702.88,,,,28911821.69,29932699.07,30187918.41,8993929.334,10014806.71,10270026.05,17674881.38,18695758.75,17731626.13,24218222.53,25239099.91,24233072.76
92,28642686.54,29663563.92,29918783.26,8710385.412,9731262.788,9986482.132,17462667.05,18483544.43,17908026.53,24280897.08,25301774.45,23142608.18,,,,28642686.54,29663563.92,29918783.26,8710385.412,9731262.788,9986482.132,17462667.05,18483544.43,17462667.05,24280897.08,25301774.45,24280897.08
93,28398514.56,29419391.94,29674611.28,8395003.263,9415880.639,9671099.983,17133824.3,18154701.67,17549435.03,24249710.94,25270588.32,23018462.35,,,,28398514.56,29419391.94,29674611.28,8395003.263,9415880.639,9671099.983,17133824.3,18154701.67,17152430.68,24249710.94,25270588.32,24249710.94
94,28161651.74,29182529.12,29437748.46,8172104.305,9192981.68,9448201.024,16785931.48,17806808.85,17169277.36,24116753.79,25137631.17,22872265.38,,,,28161651.74,29182529.12,29437748.46,8172104.305,9192981.68,9448201.024,16785931.48,17806808.85,16829749.8,24116753.79,25137631.17,24120228.78
95,27960961.08,28981838.46,29237057.8,7820049.401,8840926.777,9096146.121,16494624.39,17515501.77,16767553.5,23980113.99,25000991.36,22704017.27,,,,27960961.08,28981838.46,29237057.8,7820049.401,8840926.777,9096146.121,16494624.39,17515501.77,16494624.39,23980113.99,25000991.36,23980113.99
96,27603664.41,28624541.79,28879761.13,7230351.92,8251229.296,8506448.64,15840977.77,16861855.15,16344263.46,23675185.78,24696063.15,22399089.06,,,,27603664.41,28624541.79,28879761.13,7230351.92,8251229.296,8506448.64,15840977.77,16861855.15,16057579.76,23675185.78,24696063.15,23675185.78
97,27329978.78,28350856.15,28606075.5,6794580.166,7815457.542,8070676.886,15434979.2,16455856.58,15899407.23,23241324.69,24262202.06,22032210.55,,,,27329978.78,28350856.15,28606075.5,6794580.166,7815457.542,8070676.886,15434979.2,16455856.58,15608090.61,23241324.69,24262202.06,23241324.69
98,27070749.19,28091626.56,28346845.91,6309136.733,7330014.108,7585233.452,14869260.19,15890137.57,15432984.83,22734247.14,23755124.51,21643280.9,,,,27070749.19,28091626.56,28346845.91,6309136.733,7330014.108,7585233.452,14869260.19,15890137.57,15146156.95,22734247.14,23755124.51,22734247.14
99,26905226.13,27926103.5,28181322.85,5759752.824,6780630.199,7035849.543,14169183.15,15190060.53,14944996.24,22074181.63,23095059,21232300.11,,,,26905226.13,27926103.5,28181322.85,5759752.824,6780630.199,7035849.543,14169183.15,15190060.53,14671778.77,22074181.63,23095059,22162786.45
100,26657243.35,27678120.73,27933340.07,5216764.354,6237641.729,6492861.073,13638317.4,14659194.78,14435441.46,21345944.64,22366822.02,20799268.18,,,,26657243.35,27678120.73,27933340.07,5216764.354,6237641.729,6492861.073,13638317.4,14659194.78,14184956.08,21345944.64,22366822.02,21580693.12
101,26524803.34,27545680.71,27800900.06,4662740.523,5683617.898,5938837.242,13048264.6,14069141.97,13904320.51,20709572.9,21730450.27,20344185.11,,,,26524803.34,27545680.71,27800900.06,4662740.523,5683617.898,5938837.242,13048264.6,14069141.97,13685688.87,20709572.9,21730450.27,20987967.17
102,26401550.05,27422427.42,27677646.76,4111513.763,5132391.138,5387610.482,12284965.3,13305842.68,13351633.37,19849340.83,20870218.2,19867050.91,,,,26401550.05,27422427.42,27677646.76,4111513.763,5132391.138,5387610.482,12284965.3,13305842.68,13173977.14,19849340.83,20870218.2,20384608.58
103,26225691.24,27246568.61,27501787.96,3594260.563,4615137.938,4870357.282,11653423.58,12674300.96,12777380.05,19108630.03,20129507.4,19367865.56,,,,26225691.24,27246568.61,27501787.96,3594260.563,4615137.938,4870357.282,11653423.58,12674300.96,12649820.89,19108630.03,20129507.4,19770617.35
104,26181864.13,27202741.51,27457960.85,3095587.346,4116464.721,4371684.065,11027237.07,12048114.44,12181560.55,18356595.39,19377472.77,18846629.07,,,,26181864.13,27202741.51,27457960.85,3095587.346,4116464.721,4371684.065,11027237.07,12048114.44,12113220.14,18356595.39,19377472.77,19145993.5
105,25931215.28,26952092.65,27207312,2596091.784,3616969.16,3872188.504,10288078.14,11308955.52,11564174.86,17547060.87,18567938.25,18303341.45,,,,25931215.28,26952092.65,27207312,2596091.784,3616969.16,3872188.504,10288078.14,11308955.52,11564174.86,17547060.87,18567938.25,18510737.01
106,25953204.46,26974081.84,27229301.18,2084955.436,3105832.812,3361052.155,9769856.925,10790734.3,11045953.64,16847776.95,17868654.33,17738002.68,,,,25953204.46,26974081.84,27229301.18,2084955.436,3105832.812,3361052.155,9769856.925,10790734.3,11038435.13,16847776.95,17868654.33,17864847.88
107,25863649.62,26884527,27139746.34,1576219.566,2597096.942,2852316.286,9275242.143,10296119.52,10508570.97,16169233.09,17190110.46,17150612.78,,,,25863649.62,26884527,27139746.34,1576219.566,2597096.942,2852316.286,9275242.143,10296119.52,10500250.88,16169233.09,17190110.46,17208326.12
108,25734039.52,26754916.9,27010136.24,887304.748,1908182.123,2163401.467,8673525.391,9694402.767,9949622.11,15265075.01,16285952.39,16541171.73,,,,25734039.52,26754916.9,27010136.24,887304.748,1908182.123,2163401.467,8673525.391,9694402.767,9949622.11,15265075.01,16285952.39,16541171.73
109,25745692.05,26766569.42,27021788.77,310573.5758,1331450.951,1586670.295,8242879.086,9263756.461,9518975.805,14667324.21,15688201.59,15943420.93,,,,25745692.05,26766569.42,27021788.77,310573.5758,1331450.951,1586670.295,8242879.086,9263756.461,9518975.805,14667324.21,15688201.59,15943420.93
110,25725006.44,26745883.81,27001103.16,-52134.42541,968742.9501,1223962.294,7856281.324,8877158.7,9087803.194,14122849.54,15143726.91,15398946.26,,,,25725006.44,26745883.81,27001103.16,-52134.42541,968742.9501,1223962.294,7856281.324,8877158.7,9083242.36,14122849.54,15143726.91,15398946.26
111,25677087.17,26697964.55,26953183.89,-513185.7784,507691.5971,762910.941,7358967.68,8379845.056,8635064.4,13576109.1,14596986.47,14852205.82,,,,25677087.17,26697964.55,26953183.89,-513185.7784,507691.5971,762910.941,7358967.68,8379845.056,8635064.4,13576109.1,14596986.47,14852205.82
112,25777455.31,26798332.69,27053552.03,-837652.0692,183225.3064,438444.6502,6985446.304,8006323.68,8261543.023,13257076.66,14277954.03,14533173.38,,,,25777455.31,26798332.69,27053552.03,-837652.0692,183225.3064,438444.6502,6985446.304,8006323.68,8261543.023,13257076.66,14277954.03,14528507.94
113,25823188,26844065.37,27099284.72,-1212009.859,-191132.4831,64086.86074,6676955.06,7697832.436,7953051.78,12975553.06,13996430.44,14202219.4,,,,25823188,26844065.37,27099284.72,-1212009.859,-191132.4831,64086.86074,6676955.06,7697832.436,7953051.78,12975553.06,13996430.44,14194177.43
114,25908825.41,26929702.78,27184922.13,-1611478.303,-590600.9277,-335381.5838,6421965.731,7442843.107,7698062.451,12573117.57,13593994.94,13849214.29,,,,25908825.41,26929702.78,27184922.13,-1611478.303,-590600.9277,-335381.5838,6421965.731,7442843.107,7698062.451,12573117.57,13593994.94,13849214.29
115,26064086.59,27084963.96,27340183.31,-1904577.479,-883700.1032,-628480.7593,6382229.924,7403107.3,7621067.247,12328661.97,13349539.35,13589241.33,,,,26064086.59,27084963.96,27340183.31,-1904577.479,-883700.1032,-628480.7593,6382229.924,7403107.3,7606741.27,12328661.97,13349539.35,13583532.08
116,26189955.99,27210833.37,27466052.71,-2125986.269,-1105108.894,-849889.5499,6321002.796,7341880.172,7522505.86,12031120.52,13051997.9,13307217.24,,,,26189955.99,27210833.37,27466052.71,-2125986.269,-1105108.894,-849889.5499,6321002.796,7341880.172,7502975.573,12031120.52,13051997.9,13307217.24
117,26273244.3,27294121.67,27549341.02,-2468624.041,-1447746.665,-1192527.321,6126281.571,7147158.946,7402378.29,11820361.25,12841238.63,13096457.97,,,,26273244.3,27294121.67,27549341.02,-2468624.041,-1447746.665,-1192527.321,6126281.571,7147158.946,7386765.36,11820361.25,12841238.63,13096457.97
118,26359722.44,27380599.82,27635819.16,-2697564.372,-1676686.996,-1421467.652,6038458.748,7059336.124,7270477.929,11683483.03,12704360.41,12955814.33,,,,26359722.44,27380599.82,27635819.16,-2697564.372,-1676686.996,-1421467.652,6038458.748,7059336.124,7258110.63,11683483.03,12704360.41,12944395.83
119,26537946.21,27558823.59,27814042.93,-2967862.203,-1946984.827,-1691765.483,5840914.666,6861792.041,7117011.385,11578972.54,12599849.91,12793119.55,,,,26537946.21,27558823.59,27814042.93,-2967862.203,-1946984.827,-1691765.483,5840914.666,6861792.041,7117011.385,11578972.54,12599849.91,12781701.05
120,26483849.83,27504727.21,27759946.55,-3396025.549,-2375148.173,-2119928.829,5755273.311,6776150.686,6992545.295,11332276.91,12353154.29,12608373.63,,,,26483849.83,27504727.21,27759946.55,-3396025.549,-2375148.173,-2119928.829,5755273.311,6776150.686,6983423.628,11332276.91,12353154.29,12608373.63
121,26471827.51,27492704.88,27747924.23,-3616336.393,-2595459.018,-2340239.674,5614471.352,6635348.727,6846513.022,11222110.32,12242987.7,12498207.04,,,,26471827.51,27492704.88,27747924.23,-3616336.393,-2595459.018,-2340239.674,5614471.352,6635348.727,6837391.356,11222110.32,12242987.7,12498207.04
122,26622989.17,27643866.55,27899085.89,-3866886.771,-2846009.395,-2590790.051,5402817.847,6423695.223,6678914.567,11168559.76,12189437.13,12444656.48,,,,26622989.17,27643866.55,27899085.89,-3866886.771,-2846009.395,-2590790.051,5402817.847,6423695.223,6678914.567,11168559.76,12189437.13,12444656.48
123,26691662.61,27712539.98,27967759.33,-4097726.659,-3076849.284,-2821629.94,5409354.79,6430232.166,6643479.042,11121260.87,12142138.25,12397357.59,,,,26691662.61,27712539.98,27967759.33,-4097726.659,-3076849.284,-2821629.94,5409354.79,6430232.166,6634325.437,11121260.87,12142138.25,12397357.59
124,26840087.11,27860964.49,28116183.83,-4255534.865,-3234657.489,-2979438.145,5366689.389,6387566.765,6586477.334,11088373.12,12109250.5,12364469.84,,,,26840087.11,27860964.49,28116183.83,-4255534.865,-3234657.489,-2979438.145,5366689.389,6387566.765,6577291.791,11088373.12,12109250.5,12364469.84
125,26888413.49,27909290.87,28164510.21,-4436410.646,-3415533.27,-3160313.926,5231812.725,6252690.1,6507909.444,11100501.17,12121378.54,12368930.36,,,,26888413.49,27909290.87,28164510.21,-4436410.646,-3415533.27,-3160313.926,5231812.725,6252690.1,6507813.629,11100501.17,12121378.54,12357511.86
126,26980293.92,28001171.3,28256390.64,-4654778.125,-3633900.749,-3378681.405,5161908.405,6182785.78,6432324.565,11120302.7,12141180.07,12351339.75,,,,26980293.92,28001171.3,28256390.64,-4654778.125,-3633900.749,-3378681.405,5161908.405,6182785.78,6425890.95,11120302.7,12141180.07,12339921.24
127,27101862.87,28122740.25,28377959.59,-4788496.437,-3767619.061,-3512399.717,5059076.783,6079954.158,6335173.502,11035601.27,12056478.65,12311697.99,,,,27101862.87,28122740.25,28377959.59,-4788496.437,-3767619.061,-3512399.717,5059076.783,6079954.158,6331523.756,11035601.27,12056478.65,12311697.99
128,27273297.51,28294174.88,28549394.23,-4890200.427,-3869323.051,-3614103.707,5007496.522,6028373.898,6236266.876,11072406.88,12093284.25,12313954.22,,,,27273297.51,28294174.88,28549394.23,-4890200.427,-3869323.051,-3614103.707,5007496.522,6028373.898,6224712.046,11072406.88,12093284.25,12282888.92
129,27294465.75,28315343.12,28570562.47,-5056092.659,-4035215.283,-3779995.939,4908279.866,5929157.242,6115794.068,11018062.6,12038939.97,12294159.32,,,,27294465.75,28315343.12,28570562.47,-5056092.659,-4035215.283,-3779995.939,4908279.866,5929157.242,6105455.819,11018062.6,12038939.97,12243447.22
130,27366158.79,28387036.16,28642255.51,-5185003.116,-4164125.741,-3908906.397,4697658.357,5718535.733,5973755.076,11026278.46,12047155.84,12286151.34,,,,27366158.79,28387036.16,28642255.51,-5185003.116,-4164125.741,-3908906.397,4697658.357,5718535.733,5973755.076,11026278.46,12047155.84,12193372.89
131,27497903.51,28518780.89,28774000.23,-5129984.378,-4109107.002,-3853887.658,4739634.995,5760512.371,5999873.194,11049565.26,12070442.64,12256092.23,,,,27497903.51,28518780.89,28774000.23,-5129984.378,-4109107.002,-3853887.658,4739634.995,5760512.371,5994762.597,11049565.26,12070442.64,12132665.92
132,27537110.2,28557987.58,28813206.92,-5277945.069,-4257067.694,-4001848.35,4728328.409,5749205.784,6004425.128,10956021.05,11976898.43,12203981.97,,,,27537110.2,28557987.58,28813206.92,-5277945.069,-4257067.694,-4001848.35,4728328.409,5749205.784,6003325.601,10956021.05,11976898.43,12061326.32
133,27585969.24,28606846.62,28862065.96,-5154019.003,-4133141.627,-3877922.283,4764774.324,5785651.699,6004554.686,10880740.89,11901618.27,12129820.58,,,,27585969.24,28606846.62,28862065.96,-5154019.003,-4133141.627,-3877922.283,4764774.324,5785651.699,5999444.089,10880740.89,11901618.27,11979354.09
134,27827364.29,28848241.67,29103461.01,-5184982.563,-4164105.188,-3908885.844,4707021.341,5727898.717,5983118.061,10757511.33,11778388.7,12033608.05,,,,27827364.29,28848241.67,29103461.01,-5184982.563,-4164105.188,-3908885.844,4707021.341,5727898.717,5983118.061,10757511.33,11778388.7,11886749.22
135,28196758.96,29217636.34,29472855.68,-5123194.333,-4102316.957,-3847097.613,4812986.254,5833863.629,6029270.682,10674686.52,11695563.89,11935912.95,,,,28196758.96,29217636.34,29472855.68,-5123194.333,-4102316.957,-3847097.613,4812986.254,5833863.629,6024213.868,10674686.52,11695563.89,11783511.72
136,28314286.61,29335163.98,29590383.33,-5056797.265,-4035919.89,-3780700.546,4777760.402,5798637.778,6053857.122,10547253.76,11568131.14,11816166.72,,,,28314286.61,29335163.98,29590383.33,-5056797.265,-4035919.89,-3780700.546,4777760.402,5798637.778,6052865.16,10547253.76,11568131.14,11669641.59
137,28431317.44,29452194.81,29707414.15,-4979062.486,-3958185.11,-3702965.767,4792975.216,5813852.592,6069071.936,10398272.63,11419150,11674369.35,,,,28431317.44,29452194.81,29707414.15,-4979062.486,-3958185.11,-3702965.767,4792975.216,5813852.592,6069071.936,10398272.63,11419150,11545138.82
138,28526230.68,29547108.05,29802327.39,-4838003.391,-3817126.015,-3561906.672,4842122.035,5862999.411,6111061.993,10258123.05,11279000.43,11524054.07,,,,28526230.68,29547108.05,29802327.39,-4838003.391,-3817126.015,-3561906.672,4842122.035,5862999.411,6097379.493,10258123.05,11279000.43,11410003.42
139,28665466.62,29686344,29941563.34,-4692373.554,-3671496.178,-3416276.834,4893454.368,5914331.743,6131485.867,10084027.08,11104904.46,11351687.66,,,,28665466.62,29686344,29941563.34,-4692373.554,-3671496.178,-3416276.834,4893454.368,5914331.743,6113242.534,10084027.08,11104904.46,11264235.38
140,28796366.03,29817243.4,30072462.75,-4616200.007,-3595322.631,-3340103.287,4927561.81,5948439.185,6130343.559,9942447.78,10963325.16,11157270.11,,,,28796366.03,29817243.4,30072462.75,-4616200.007,-3595322.631,-3340103.287,4927561.81,5948439.185,6116661.059,9942447.78,10963325.16,11107834.71
141,28976694.16,29997571.54,30252790.88,-4478927.791,-3458050.416,-3202831.072,4831538.348,5852415.724,6107635.068,9664704.693,10685582.07,10940801.41,,,,28976694.16,29997571.54,30252790.88,-4478927.791,-3458050.416,-3202831.072,4831538.348,5852415.724,6107635.068,9664704.693,10685582.07,10940801.41
142,29120461.64,30141339.01,30396558.36,-4361988.636,-3341111.26,-3085891.916,4859185.917,5880063.293,6131152.445,9557634.788,10578512.16,10816863.54,,,,29120461.64,30141339.01,30396558.36,-4361988.636,-3341111.26,-3085891.916,4859185.917,5880063.293,6117469.945,9557634.788,10578512.16,10811154.29
143,29339805.1,30360682.48,30615901.82,-4261339.311,-3240461.935,-2985242.591,4911390.493,5932267.869,6133103.64,9394777.806,10415655.18,10670874.53,,,,29339805.1,30360682.48,30615901.82,-4261339.311,-3240461.935,-2985242.591,4911390.493,5932267.869,6114860.307,9394777.806,10415655.18,10670874.53
144,29501492.52,30522369.9,30777589.24,-4163370.725,-3142493.349,-2887274.006,4871883.888,5892761.263,6113488.652,9252886.503,10273763.88,10528983.22,,,,29501492.52,30522369.9,30777589.24,-4163370.725,-3142493.349,-2887274.006,4871883.888,5892761.263,6099806.152,9252886.503,10273763.88,10528983.22
145,29645797.51,30666674.88,30921894.23,-4032861.801,-3011984.426,-2756765.082,4796210.762,5817088.137,6072307.481,9162132.606,10183009.98,10391355.36,,,,29645797.51,30666674.88,30921894.23,-4032861.801,-3011984.426,-2756765.082,4796210.762,5817088.137,6072307.481,9162132.606,10183009.98,10385646.1
146,29906669.5,30927546.88,31182766.22,-4048508.62,-3027631.245,-2772411.901,4852049.739,5872927.115,6115346.619,8955579.634,9976457.009,10231676.35,,,,29906669.5,30927546.88,31182766.22,-4048508.62,-3027631.245,-2772411.901,4852049.739,5872927.115,6110785.786,8955579.634,9976457.009,10231676.35
147,30111380.03,31132257.41,31387476.75,-4000091.424,-2979214.048,-2723994.704,4860722.855,5881600.23,6136819.574,8843789.287,9864666.663,10119886.01,,,,30111380.03,31132257.41,31387476.75,-4000091.424,-2979214.048,-2723994.704,4860722.855,5881600.23,6136819.574,8843789.287,9864666.663,10116209.07
148,30217362.53,31238239.9,31493459.25,-3954423.883,-2933546.508,-2678327.164,5010730.226,6031607.601,6160825.087,8714012.434,9734889.81,9990109.154,,,,30217362.53,31238239.9,31493459.25,-3954423.883,-2933546.508,-2678327.164,5010730.226,6031607.601,6156264.254,8714012.434,9734889.81,9990109.154
149,30367801.46,31388678.83,31643898.17,-3928794.708,-2907917.332,-2652697.988,4887167.698,5908045.074,6163264.418,8639419.273,9660296.648,9897836.91,,,,30367801.46,31388678.83,31643898.17,-3928794.708,-2907917.332,-2652697.988,4887167.698,5908045.074,6163264.418,8639419.273,9660296.648,9892127.657
150,30503986.62,31524864,31780083.34,-3893191.231,-2872313.855,-2617094.511,4988349.617,6009226.992,6247698.079,8507416.807,9528294.183,9783513.527,,,,30503986.62,31524864,31780083.34,-3893191.231,-2872313.855,-2617094.511,4988349.617,6009226.992,6241453.144,8507416.807,9528294.183,9783513.527
151,30690127.52,31711004.89,31966224.24,-3853463.842,-2832586.466,-2577367.122,5034468.839,6055346.214,6310565.558,8445816.865,9466694.241,9721913.585,,,,30690127.52,31711004.89,31966224.24,-3853463.842,-2832586.466,-2577367.122,5034468.839,6055346.214,6307197.355,8445816.865,9466694.241,9714189.798
152,30854361.69,31875239.06,32130458.41,-3808153.198,-2787275.822,-2532056.478,5097808.922,6118686.297,6366741.985,8363397.259,9384274.635,9639493.979,,,,30854361.69,31875239.06,32130458.41,-3808153.198,-2787275.822,-2532056.478,5097808.922,6118686.297,6360497.05,8363397.259,9384274.635,9634233.435
153,30921722.91,31942600.28,32197819.63,-3848083.839,-2827206.464,-2571987.12,5125255.509,6146132.885,6401352.228,8267547.719,9288425.095,9543644.439,,,,30921722.91,31942600.28,32197819.63,-3848083.839,-2827206.464,-2571987.12,5125255.509,6146132.885,6401352.228,8267547.719,9288425.095,9543644.439
154,31162862.11,32183739.48,32438958.83,-3809593.999,-2788716.623,-2533497.28,5226503.315,6247380.691,6442727.885,8197599.106,9218476.481,9473695.825,,,,31162862.11,32183739.48,32438958.83,-3809593.999,-2788716.623,-2533497.28,5226503.315,6247380.691,6438167.052,8197599.106,9218476.481,9473695.825
155,31314415.98,32335293.35,32590512.7,-3803445.068,-2782567.693,-2527348.349,5186440.64,6207318.015,6462537.359,8234274.038,9255151.414,9467112.984,,,,31314415.98,32335293.35,32590512.7,-3803445.068,-2782567.693,-2527348.349,5186440.64,6207318.015,6462537.359,8234274.038,9255151.414,9455694.478
156,31494764.61,32515641.99,32770861.33,-3749959.573,-2729082.197,-2473862.853,5290881.199,6311758.574,6539695.53,8164018.86,9184896.235,9438479.003,,,,31494764.61,32515641.99,32770861.33,-3749959.573,-2729082.197,-2473862.853,5290881.199,6311758.574,6530573.863,8164018.86,9184896.235,9427060.497
157,31774779.55,32795656.93,33050876.27,-3665475.871,-2644598.496,-2389379.152,5354209.633,6375087.008,6595287.518,8111697.164,9132574.539,9387793.883,,,,31774779.55,32795656.93,33050876.27,-3665475.871,-2644598.496,-2389379.152,5354209.633,6375087.008,6586165.852,8111697.164,9132574.539,9387793.883
158,32055391.38,33076268.75,33331488.1,-3624452.938,-2603575.563,-2348356.219,5353216.604,6374093.98,6629313.324,8135080.604,9155957.98,9411177.323,,,,32055391.38,33076268.75,33331488.1,-3624452.938,-2603575.563,-2348356.219,5353216.604,6374093.98,6629313.324,8135080.604,9155957.98,9411177.323
159,32096258.15,33117135.53,33372354.87,-3612049.574,-2591172.198,-2335952.854,5483555.457,6504432.833,6741972.204,8202216.078,9223093.454,9470236.226,,,,32096258.15,33117135.53,33372354.87,-3612049.574,-2591172.198,-2335952.854,5483555.457,6504432.833,6737411.37,8202216.078,9223093.454,9458817.72
160,32407160.91,33428038.28,33683257.63,-3593523.137,-2572645.761,-2317426.417,5556968.182,6577845.557,6833064.901,8300201.755,9321079.131,9507243.99,,,,32407160.91,33428038.28,33683257.63,-3593523.137,-2572645.761,-2317426.417,5556968.182,6577845.557,6833064.901,8300201.755,9321079.131,9495825.484
161,32741624.21,33762501.59,34017720.93,-3540038.164,-2519160.789,-2263941.445,5695261.634,6716139.009,6971358.353,8246103.894,9266981.27,9522200.614,,,,32741624.21,33762501.59,34017720.93,-3540038.164,-2519160.789,-2263941.445,5695261.634,6716139.009,6971358.353,8246103.894,9266981.27,9522200.614
162,33004059.28,34024936.66,34280156,-3522721.865,-2501844.49,-2246625.146,5870416.652,6891294.027,7146513.371,8337894.928,9358772.304,9613991.648,,,,33004059.28,34024936.66,34280156,-3522721.865,-2501844.49,-2246625.146,5870416.652,6891294.027,7143866.291,8337894.928,9358772.304,9613991.648
163,33223487.13,34244364.51,34499583.85,-3436883.99,-2416006.614,-2160787.271,6064988.285,7085865.661,7309814.087,8468879.406,9489756.781,9711031.062,,,,33223487.13,34244364.51,34499583.85,-3436883.99,-2416006.614,-2160787.271,6064988.285,7085865.661,7303929.714,8468879.406,9489756.781,9705321.809
164,33584184.28,34605061.65,34860281,-3441822.46,-2420945.085,-2165725.741,6175451.901,7196329.276,7451548.62,8509922.618,9530799.993,9786019.337,,,,33584184.28,34605061.65,34860281,-3441822.46,-2420945.085,-2165725.741,6175451.901,7196329.276,7451548.62,8509922.618,9530799.993,9786019.337
165,33873196.22,34894073.59,35149292.94,-3368459.502,-2347582.126,-2092362.782,6535305.365,7556182.74,7729560.65,8608800.899,9629678.274,9884897.618,,,,33873196.22,34894073.59,35149292.94,-3368459.502,-2347582.126,-2092362.782,6535305.365,7556182.74,7720438.983,8608800.899,9629678.274,9884897.618
166,34206736.6,35227613.98,35482833.32,-3385949.7,-2365072.324,-2109852.981,6727993.988,7748871.363,7986006.497,8722588.503,9743465.878,9998685.222,,,,34206736.6,35227613.98,35482833.32,-3385949.7,-2365072.324,-2109852.981,6727993.988,7748871.363,7976884.83,8722588.503,9743465.878,9998685.222
167,34641616.55,35662493.93,35917713.27,-3405397,-2384519.624,-2129300.281,6944789.442,7965666.817,8220886.161,8840428.248,9861305.623,10110894.22,,,,34641616.55,35662493.93,35917713.27,-3405397,-2384519.624,-2129300.281,6944789.442,7965666.817,8220886.161,8840428.248,9861305.623,10105184.97
168,34988383.13,36009260.51,36264479.85,-3386309.302,-2365431.926,-2110212.583,7382519.759,8403397.134,8629000.556,8924955.355,9945832.731,10201052.07,,,,34988383.13,36009260.51,36264479.85,-3386309.302,-2365431.926,-2110212.583,7382519.759,8403397.134,8624439.723,8924955.355,9945832.731,10201052.07
169,35407416.52,36428293.9,36683513.24,-3490488.58,-2469611.204,-2214391.86,7739452.049,8760329.425,9015548.769,9078854.488,10099731.86,10314230.37,,,,35407416.52,36428293.9,36683513.24,-3490488.58,-2469611.204,-2214391.86,7739452.049,8760329.425,9015548.769,9078854.488,10099731.86,10302289.71
170,35876416.74,36897294.12,37152513.46,-3447521.559,-2426644.184,-2171424.84,8131851.234,9152728.61,9407947.954,9134567.938,10155445.31,10405357.53,,,,35876416.74,36897294.12,37152513.46,-3447521.559,-2426644.184,-2171424.84,8131851.234,9152728.61,9407947.954,9134567.938,10155445.31,10392894.71
171,36239536.58,37260413.96,37515633.3,-3450139.588,-2429262.212,-2174042.869,8589334.807,9610212.182,9832425.475,9198336.835,10219214.21,10474433.55,,,,36239536.58,37260413.96,37515633.3,-3450139.588,-2429262.212,-2174042.869,8589334.807,9610212.182,9827864.642,9198336.835,10219214.21,10472867.08
172,36759639.87,37780517.24,38035736.59,-3476885.436,-2456008.061,-2200788.717,8959240.094,9980117.469,10235336.81,9266110.094,10286987.47,10542206.81,,,,36759639.87,37780517.24,38035736.59,-3476885.436,-2456008.061,-2200788.717,8959240.094,9980117.469,10235336.81,9266110.094,10286987.47,10542206.81
173,37241842.38,38262719.76,38517939.1,-3615222.407,-2594345.032,-2339125.688,9376939.292,10397816.67,10653036.01,9346919.321,10367796.7,10623016.04,,,,37241842.38,38262719.76,38517939.1,-3615222.407,-2594345.032,-2339125.688,9376939.292,10397816.67,10653036.01,9346919.321,10367796.7,10623016.04
174,37665481.1,38686358.47,38941577.82,-3589854.312,-2568976.936,-2313757.593,9908344.869,10929222.24,11184441.59,9505354.177,10526231.55,10750855.71,,,,37665481.1,38686358.47,38941577.82,-3589854.312,-2568976.936,-2313757.593,9908344.869,10929222.24,11184441.59,9505354.177,10526231.55,10745146.46
175,38073866.23,39094743.6,39349962.94,-3638130.796,-2617253.421,-2362034.077,10476306.24,11497183.61,11752402.96,9580547.518,10601424.89,10856644.24,,,,38073866.23,39094743.6,39349962.94,-3638130.796,-2617253.421,-2362034.077,10476306.24,11497183.61,11752402.96,9580547.518,10601424.89,10856644.24
176,38586445.35,39607322.72,39862542.07,-3657546.398,-2636669.023,-2381449.679,11045933.13,12066810.51,12322029.85,9721960.557,10742837.93,10998057.28,,,,38586445.35,39607322.72,39862542.07,-3657546.398,-2636669.023,-2381449.679,11045933.13,12066810.51,12322029.85,9721960.557,10742837.93,10998057.28
177,39027695.69,40048573.07,40303792.41,-3596782.659,-2575905.284,-2320685.94,11712676.8,12733554.18,12988773.52,9923280.118,10944157.49,11160798.05,,,,39027695.69,40048573.07,40303792.41,-3596782.659,-2575905.284,-2320685.94,11712676.8,12733554.18,12988773.52,9923280.118,10944157.49,11155088.79
