1.5mv2g,netload,uncontrolled,Pmax,netload,uncontrolled,pmin,netload,uncontrolled,rampup,netload,uncontrolled,rampdown,,,1.5mv1g,netload,uncontrolled,pamx,netload,uncontrolled,pmin,netload,uncontrolled,rampup,netload,uncontrolled,rampdown
20,29153784.07,30174661.44,30429880.78,15692093.87,16712971.24,16968190.59,18195203.48,19216080.86,19448705.16,20886614.21,21907491.58,21995657.42,,,,29153784.07,30174661.44,30429880.78,15692093.87,16712971.24,16968190.59,18195203.48,19216080.86,19430461.82,20886614.21,21907491.58,21679260.32
21,29084897.31,30105774.69,30360994.03,15646335,16667212.38,16922431.72,18191392.72,19212270.09,19458129.15,20816748.52,21837625.89,21980742.41,,,,29084897.31,30105774.69,30360994.03,15646335,16667212.38,16922431.72,18191392.72,19212270.09,19430764.15,20816748.52,21837625.89,21620455.88
22,28830950.38,29851827.76,30107047.1,15566115.39,16586992.77,16842212.11,18195434.81,19216312.18,19445986.95,20838307.7,21859185.08,21943776.27,,,,28830950.38,29851827.76,30107047.1,15566115.39,16586992.77,16842212.11,18195434.81,19216312.18,19418621.95,20838307.7,21859185.08,21551018.8
23,28756511.44,29777388.82,30032608.16,15448017.21,16468894.58,16724113.93,18144383.3,19165260.67,19412278.58,20816937.57,21837814.94,21884758.98,,,,28756511.44,29777388.82,30032608.16,15448017.21,16468894.58,16724113.93,18144383.3,19165260.67,19394035.24,20816937.57,21837814.94,21470949.09
24,28661563.11,29682440.48,29937659.83,15354325.08,16375202.45,16630421.8,18080907.3,19101784.67,19357004.02,20747452.99,21768330.36,21803690.55,,,,28661563.11,29682440.48,29937659.83,15354325.08,16375202.45,16630421.8,18080907.3,19101784.67,19357004.02,20747452.99,21768330.36,21380246.74
25,28529192.16,29550069.54,29805288.88,15141178.44,16162055.82,16417275.16,18062521.95,19083399.32,19338618.67,20492279.02,21513156.39,21700570.99,,,,28529192.16,29550069.54,29805288.88,15141178.44,16162055.82,16417275.16,18062521.95,19083399.32,19335710.64,20492279.02,21513156.39,21278911.77
26,28454146.98,29475024.36,29730243.7,15023603.2,16044480.58,16299699.92,18049330.54,19070207.92,19307987.59,20424294.18,21445171.56,21575400.28,,,,28454146.98,29475024.36,29730243.7,15023603.2,16044480.58,16299699.92,18049330.54,19070207.92,19301972.74,20424294.18,21445171.56,21166944.16
27,28315987.02,29336864.39,29592083.74,14902299.77,15923177.15,16178396.49,17979693.61,19000570.99,19255790.33,20196836.92,21217714.29,21428178.44,,,,28315987.02,29336864.39,29592083.74,14902299.77,15923177.15,16178396.49,17979693.61,19000570.99,19255790.33,20196836.92,21217714.29,21044343.91
28,28217647.37,29238524.74,29493744.08,14614290.32,15635167.7,15890387.04,18006019.1,19026896.47,19263373.13,19982808.73,21003686.11,21258905.45,,,,28217647.37,29238524.74,29493744.08,14614290.32,15635167.7,15890387.04,18006019.1,19026896.47,19250890.7,19982808.73,21003686.11,20911111.04
29,28104361.74,29125239.12,29380458.46,14498799.55,15519676.93,15774896.27,17977114.37,18997991.74,19249389.75,19808677.33,20829554.71,21070953.33,,,,28104361.74,29125239.12,29380458.46,14498799.55,15519676.93,15774896.27,17977114.37,18997991.74,19233546.56,19808677.33,20829554.71,20767245.52
