1.5m,netload,uncontrolled,150v2g,125v2g,150v1g,125v1g,,0.8m,unontrolled,150v2g,125v2g,150v1g,125v1g,,0.2m,uncontrolled,150v2g,125v2g,150v1g,125v1g
122,14116183.69,15137061.06,15647499.75,15392280.41,15647499.75,15392280.41,,,14660651.62,14932885.59,14796768.6,14932885.59,14932885.59,,,14252300.67,14320359.16,14286329.92,14320359.16,14286329.92
123,14115895.94,15136773.32,15647212.01,15391992.66,15647212.01,15391992.66,,,14660363.88,14932597.85,14796480.86,14932597.85,14932597.85,,,14252012.93,14320071.42,14286042.17,14320071.42,14286042.17
124,14082647.16,15103524.54,15613963.23,15358743.88,15613963.23,15358743.88,,,14627115.1,14899349.07,14763232.08,14899349.07,14899349.07,,,14218764.15,14286822.64,14252793.39,14286822.64,14252793.39
125,14152499.44,15173376.82,15683815.51,15428596.16,15683815.51,15428596.16,,,14696967.38,14969201.34,14833084.36,14969201.34,14969201.34,,,14288616.43,14356674.92,14322645.67,14356674.92,14322645.67
126,14055719.6,15076596.97,15587035.66,15331816.32,15587035.66,15331816.32,,,14600187.53,14872421.5,14736304.52,14872421.5,14872421.5,,,14191836.58,14259895.07,14225865.83,14259895.07,14225865.83
127,14076658.52,15097535.89,15607974.58,15352755.23,15607974.58,15352755.23,,,14621126.45,14893360.42,14757243.43,14893360.42,14893360.42,,,14212775.5,14280833.99,14246804.74,14280833.99,14246804.74
128,14114406.69,15135284.07,15645722.75,15390503.41,15645722.75,15390503.41,,,14658874.62,14931108.59,14794991.61,14931108.59,14931108.59,,,14250523.67,14318582.17,14284552.92,14318582.17,14284552.92
129,14022297,15043174.38,15553613.06,15298393.72,15553613.06,15298393.72,,,14566764.93,14838998.9,14702881.92,14838998.9,14838998.9,,,14158413.98,14226472.48,14192443.23,14226472.48,14192443.23
130,13997151.73,15018029.1,15528467.79,15273248.45,15528467.79,15273248.45,,,14541619.66,14813853.63,14677736.64,14813853.63,14813853.63,,,14133268.71,14201327.2,14167297.96,14201327.2,14167297.96
131,13961589.36,14982466.74,15492905.42,15237686.08,15492905.42,15237686.08,,,14506057.29,14778291.26,14642174.28,14778291.26,14778291.26,,,14097706.34,14165764.83,14131735.59,14165764.83,14131735.59
132,13910661.58,14931538.96,15441977.65,15186758.3,15441977.65,15186758.3,,,14455129.52,14727363.48,14591246.5,14727363.48,14727363.48,,,14046778.57,14114837.06,14080807.81,14114837.06,14080807.81
133,13929476.03,14950353.4,15460792.09,15205572.74,15460792.09,15205572.74,,,14473943.96,14746177.93,14610060.94,14746177.93,14746177.93,,,14065593.01,14133651.5,14099622.25,14133651.5,14099622.25
134,13956670.9,14977548.27,15487986.96,15232767.62,15487986.96,15232767.62,,,14501138.83,14773372.8,14637255.82,14773372.8,14773372.8,,,14092787.88,14160846.37,14126817.13,14160846.37,14126817.13
135,13923130.86,14944008.23,15454446.92,15199227.58,15454446.92,15199227.58,,,14467598.79,14739832.76,14603715.78,14739832.76,14739832.76,,,14059247.84,14127306.33,14093277.09,14127306.33,14093277.09
136,13926364.39,14947241.76,15457680.45,15202461.11,15457680.45,15202461.11,,,14470832.32,14743066.29,14606949.3,14743066.29,14743066.29,,,14062481.37,14130539.86,14096510.62,14130539.86,14096510.62
137,13891544.88,14912422.25,15422860.94,15167641.6,15422860.94,15167641.6,,,14436012.81,14708246.78,14572129.79,14708246.78,14708246.78,,,14027661.86,14095720.35,14061691.11,14095720.35,14061691.11
138,13980255.26,15001132.63,15511571.32,15256351.98,15511571.32,15256351.98,,,14524723.19,14796957.16,14660840.18,14796957.16,14796957.16,,,14116372.24,14184430.73,14150401.49,14184430.73,14150401.49
139,14043207.37,15064084.75,15574523.43,15319304.09,15574523.43,15319304.09,,,14587675.3,14859909.27,14723792.29,14859909.27,14859909.27,,,14179324.35,14247382.84,14213353.6,14247382.84,14213353.6
140,14015909.89,15036787.26,15547225.95,15292006.61,15547225.95,15292006.61,,,14560377.82,14832611.79,14696494.81,14832611.79,14832611.79,,,14152026.87,14220085.36,14186056.12,14220085.36,14186056.12
141,14028940.81,15049818.18,15560256.87,15305037.53,15560256.87,15305037.53,,,14573408.74,14845642.71,14709525.72,14845642.71,14845642.71,,,14165057.79,14233116.28,14199087.04,14233116.28,14199087.04
142,14085391.16,15106268.53,15616707.22,15361487.88,15616707.22,15361487.88,,,14629859.09,14902093.06,14765976.08,14902093.06,14902093.06,,,14221508.14,14289566.63,14255537.39,14289566.63,14255537.39
143,14146009.99,15166887.37,15677326.06,15422106.71,15677326.06,15422106.71,,,14690477.93,14962711.89,14826594.91,14962711.89,14962711.89,,,14282126.98,14350185.47,14316156.22,14350185.47,14316156.22
144,14298810.29,15319687.66,15830126.35,15574907.01,15830126.35,15574907.01,,,14843278.22,15115512.19,14979395.21,15115512.19,15115512.19,,,14434927.27,14502985.76,14468956.52,14502985.76,14468956.52
145,14266010.02,15286887.39,15797326.08,15542106.74,15797326.08,15542106.74,,,14810477.95,15082711.92,14946594.93,15082711.92,15082711.92,,,14402127,14470185.49,14436156.25,14470185.49,14436156.25
146,14377584.92,15398462.29,15908900.98,15653681.64,15908900.98,15653681.64,,,14922052.85,15194286.82,15058169.84,15194286.82,15194286.82,,,14513701.9,14581760.39,14547731.15,14581760.39,14547731.15
147,14336105.92,15356983.3,15867421.99,15612202.64,15867421.99,15612202.64,,,14880573.86,15152807.82,15016690.84,15152807.82,15152807.82,,,14472222.91,14540281.4,14506252.15,14540281.4,14506252.15
148,14322315.02,15343192.4,15853631.08,15598411.74,15853631.08,15598411.74,,,14866782.95,15139016.92,15002899.94,15139016.92,15139016.92,,,14458432,14526490.49,14492461.25,14526490.49,14492461.25
149,14277890.13,15298767.51,15809206.2,15553986.85,15809206.2,15553986.85,,,14822358.07,15094592.03,14958475.05,15094592.03,15094592.03,,,14414007.12,14482065.61,14448036.36,14482065.61,14448036.36
150,14323986.73,15344864.11,15855302.79,15600083.45,15855302.79,15600083.45,,,14868454.66,15140688.63,15004571.65,15140688.63,15140688.63,,,14460103.71,14528162.21,14494132.96,14528162.21,14494132.96
151,14383109.7,15403987.08,15914425.77,15659206.42,15914425.77,15659206.42,,,14927577.64,15199811.6,15063694.62,15199811.6,15199811.6,,,14519226.69,14587285.18,14553255.93,14587285.18,14553255.93
152,14422610.96,15443488.34,15953927.02,15698707.68,15953927.02,15698707.68,,,14967078.89,15239312.86,15103195.88,15239312.86,15239312.86,,,14558727.94,14626786.44,14592757.19,14626786.44,14592757.19
153,14461356.91,15482234.29,15992672.97,15737453.63,15992672.97,15737453.63,,,15005824.84,15278058.81,15141941.83,15278058.81,15278058.81,,,14597473.89,14665532.39,14631503.14,14665532.39,14631503.14
154,14560629.37,15581506.74,16091945.43,15836726.09,16091945.43,15836726.09,,,15105097.3,15377331.27,15241214.28,15377331.27,15377331.27,,,14696746.35,14764804.84,14730775.6,14764804.84,14730775.6
155,14542154.29,15563031.66,16073470.35,15818251.01,16073470.35,15818251.01,,,15086622.22,15358856.19,15222739.2,15358856.19,15358856.19,,,14678271.27,14746329.76,14712300.52,14746329.76,14712300.52
156,14705978.9,15726856.28,16237294.97,15982075.62,16237294.97,15982075.62,,,15250446.84,15522680.8,15386563.82,15522680.8,15522680.8,,,14842095.89,14910154.38,14876125.13,14910154.38,14876125.13
157,14750512.52,15771389.9,16281828.58,16026609.24,16281828.58,16026609.24,,,15294980.45,15567214.42,15431097.44,15567214.42,15567214.42,,,14886629.5,14954688,14920658.75,14954688,14920658.75
158,14795757.78,15816635.15,16327073.84,16071854.5,16327073.84,16071854.5,,,15340225.71,15612459.68,15476342.69,15612459.68,15612459.68,,,14931874.76,14999933.25,14965904.01,14999933.25,14965904.01
159,14829979.01,15850856.38,16361295.07,16106075.73,16361295.07,16106075.73,,,15374446.94,15646680.91,15510563.92,15646680.91,15646680.91,,,14966095.99,15034154.48,15000125.24,15034154.48,15000125.24
160,14965874.5,15986751.88,16497190.56,16241971.22,16497190.56,16241971.22,,,15510342.44,15782576.4,15646459.42,15782576.4,15782576.4,,,15101991.48,15170049.98,15136020.73,15170049.98,15136020.73
161,15065658.39,16086535.76,16596974.45,16341755.11,16596974.45,16341755.11,,,15610126.32,15882360.29,15746243.31,15882360.29,15882360.29,,,15201775.37,15269833.86,15235804.62,15269833.86,15235804.62
162,15246480.43,16267357.8,16777796.49,16522577.15,16777796.49,16522577.15,,,15790948.36,16063182.33,15927065.34,16063182.33,16063182.33,,,15382597.41,15450655.9,15416626.66,15450655.9,15416626.66
163,15424607.26,16445484.64,16955923.33,16700703.98,16955923.33,16700703.98,,,15969075.2,16241309.17,16105192.18,16241309.17,16241309.17,,,15560724.25,15628782.74,15594753.49,15628782.74,15594753.49
164,15589643.49,16610520.87,17120959.55,16865740.21,17120959.55,16865740.21,,,16134111.42,16406345.39,16270228.41,16406345.39,16406345.39,,,15725760.47,15793818.96,15759789.72,15793818.96,15759789.72
165,15800509.63,16821387.01,17331825.7,17076606.35,17331825.7,17076606.35,,,16344977.57,16617211.53,16481094.55,16617211.53,16617211.53,,,15936626.62,16004685.11,15970655.86,16004685.11,15970655.86
166,15905635.48,16926512.85,17436951.54,17181732.2,17436951.54,17181732.2,,,16450103.41,16722337.38,16586220.4,16722337.38,16722337.38,,,16041752.46,16109810.95,16075781.71,16109810.95,16075781.71
167,16060491.87,17081369.25,17591807.93,17336588.59,17591807.93,17336588.59,,,16604959.8,16877193.77,16741076.79,16877193.77,16877193.77,,,16196608.85,16264667.35,16230638.1,16264667.35,16230638.1
168,16287231.81,17308109.18,17818547.87,17563328.53,17818547.87,17563328.53,,,16831699.74,17103933.71,16967816.73,17103933.71,17103933.71,,,16423348.79,16491407.28,16457378.04,16491407.28,16457378.04
169,16510901.45,17531778.83,18042217.51,17786998.17,18042217.51,17786998.17,,,17055369.38,17327603.35,17191486.37,17327603.35,17327603.35,,,16647018.43,16715076.93,16681047.68,16715076.93,16681047.68
170,16866685.42,17887562.8,18398001.49,18142782.14,18398001.49,18142782.14,,,17411153.36,17683387.32,17547270.34,17683387.32,17683387.32,,,17002802.41,17070860.9,17036831.65,17070860.9,17036831.65
171,16948035.84,17968913.22,18479351.91,18224132.56,18479351.91,18224132.56,,,17492503.78,17764737.75,17628620.76,17764737.75,17764737.75,,,17084152.83,17152211.32,17118182.07,17152211.32,17118182.07
172,17287530.52,18308407.89,18818846.58,18563627.24,18818846.58,18563627.24,,,17831998.45,18104232.42,17968115.43,18104232.42,18104232.42,,,17423647.5,17491705.99,17457676.75,17491705.99,17457676.75
173,17493950.56,18514827.93,19025266.62,18770047.28,19025266.62,18770047.28,,,18038418.49,18310652.46,18174535.48,18310652.46,18310652.46,,,17630067.54,17698126.03,17664096.79,17698126.03,17664096.79
174,17671298.6,18692175.98,19202614.67,18947395.32,19202614.67,18947395.32,,,18215766.54,18488000.5,18351883.52,18488000.5,18488000.5,,,17807415.59,17875474.08,17841444.83,17875474.08,17841444.83
175,17935544.06,18956421.43,19466860.12,19211640.78,19466860.12,19211640.78,,,18480011.99,18752245.96,18616128.97,18752245.96,18752245.96,,,18071661.04,18139719.53,18105690.29,18139719.53,18105690.29
176,18148194.55,19169071.93,19679510.62,19424291.27,19679510.62,19424291.27,,,18692662.49,18964896.45,18828779.47,18964896.45,18964896.45,,,18284311.54,18352370.03,18318340.78,18352370.03,18318340.78
177,18469893.38,19490770.75,20001209.44,19745990.1,20001209.44,19745990.1,,,19014361.31,19286595.28,19150478.3,19286595.28,19286595.28,,,18606010.36,18674068.85,18640039.61,18674068.85,18640039.61
178,18702611.76,19723489.14,20233927.82,19978708.48,20233927.82,19978708.48,,,19247079.69,19519313.66,19383196.68,19519313.66,19519313.66,,,18838728.74,18906787.24,18872757.99,18906787.24,18872757.99
179,18981496.59,20002373.96,20512812.65,20257593.31,20512812.65,20257593.31,,,19525964.52,19798198.49,19662081.5,19798198.49,19798198.49,,,19117613.57,19185672.06,19151642.82,19185672.06,19151642.82
180,19230423.21,20251300.58,20761739.27,20506519.93,20761739.27,20506519.93,,,19774891.14,20047125.11,19911008.12,20047125.11,20047125.11,,,19366540.19,19434598.68,19400569.44,19434598.68,19400569.44
181,19501331.89,20522209.26,21032647.95,20777428.61,21032647.95,20777428.61,,,20045799.82,20318033.79,20181916.8,20318033.79,20318033.79,,,19637448.87,19705507.36,19671478.12,19705507.36,19671478.12
182,19731794.9,20752672.27,21263110.96,21007891.62,21263110.96,21007891.62,,,20276262.83,20548496.8,20412379.82,20548496.8,20548496.8,,,19867911.88,19935970.37,19901941.13,19935970.37,19901941.13
183,20054734.73,21075612.1,21586050.79,21330831.45,21586050.79,21330831.45,,,20599202.66,20871436.63,20735319.65,20871436.63,20871436.63,,,20190851.71,20258910.2,20224880.96,20258910.2,20224880.96
184,20261284.69,21282162.07,21792600.75,21537381.41,21792600.75,21537381.41,,,20805752.62,21077986.59,20941869.61,21077986.59,21077986.59,,,20397401.67,20465460.17,20431430.92,20465460.17,20431430.92
185,20547596.01,21568473.39,22078912.07,21823692.73,22078912.07,21823692.73,,,21092063.94,21364297.91,21228180.93,21364297.91,21364297.91,,,20683712.99,20751771.49,20717742.24,20751771.49,20717742.24
186,20805998.1,21826875.47,22337314.16,22082094.82,22337314.16,22082094.82,,,21350466.03,21622700,21486583.02,21622700,21622700,,,20942115.08,21010173.57,20976144.33,21010173.57,20976144.33
187,21131307.47,22152184.84,22662623.53,22407404.19,22662623.53,22407404.19,,,21675775.4,21948009.37,21811892.38,21948009.37,21948009.37,,,21267424.45,21335482.94,21301453.7,21335482.94,21301453.7
188,21437247.46,22458124.84,22968563.53,22713344.18,22968563.53,22713344.18,,,21981715.4,22253949.36,22117832.38,22253949.36,22253949.36,,,21573364.45,21641422.94,21607393.69,21641422.94,21607393.69
189,21707857.74,22728735.12,23239173.81,22983954.46,23239173.81,22983954.46,,,22252325.68,22524559.65,22388442.66,22524559.65,22524559.65,,,21843974.73,21912033.22,21878003.97,21912033.22,21878003.97
190,22052452.43,23073329.81,23583768.49,23328549.15,23284398.78,23328549.15,,,22596920.36,22869154.33,22733037.35,22869154.33,22869154.33,,,22188569.41,22256627.91,22222598.66,22256627.91,22222598.66
191,22301726.89,23322604.27,23833042.95,23577823.61,23284398.78,23577823.61,,,22846194.82,23118428.79,22982311.81,22898109.48,22898109.48,,,22437843.87,22505902.37,22471873.12,22505902.37,22471873.12
192,22677790.17,23698667.54,24209106.23,23953886.89,23284398.78,23953886.89,,,23222258.1,23494492.07,23358375.08,22898109.48,22898109.48,,,22813907.15,22881965.64,22847936.4,22677790.17,22847936.4
193,23042993.49,24063870.87,24574309.56,24319090.21,23284398.78,24319090.21,,,23587461.43,23859695.39,23723578.41,23042993.49,23042993.49,,,23179110.48,23247168.97,23213139.72,23042993.49,23213139.72
194,23373434.04,24394311.41,24904750.1,24649530.76,23373434.04,24649530.76,,,23917901.97,24190135.94,24054018.95,23373434.04,23373434.04,,,23509551.02,23577609.51,23543580.26,23373434.04,23543580.26
195,23633847.89,24654725.26,25165163.95,24909944.6,23633847.89,24909944.6,,,24178315.82,24450549.79,24314432.8,23633847.89,23633847.89,,,23769964.87,23838023.36,23803994.11,23633847.89,23803994.11
196,23968868.67,24989746.04,25500184.73,25244965.39,23968868.67,25244965.39,,,24513336.6,24785570.57,24649453.58,23968868.67,23968868.67,,,24104985.65,24173044.14,24139014.9,23968868.67,24139014.9
197,24175561.36,25196438.74,25706877.42,25451658.08,24175561.36,25451658.08,,,24720029.29,24992263.26,24856146.28,24175561.36,24175561.36,,,24311678.34,24379736.83,24345707.59,24175561.36,24345707.59
198,24574465.8,25595343.17,26105781.86,25850562.52,24574465.8,25850562.52,,,25118933.73,25391167.7,25255050.71,24574465.8,24574465.8,,,24710582.78,24778641.27,24744612.03,24574465.8,24744612.03
199,24927874.06,25948751.44,26459190.13,26203970.78,24927874.06,26203970.78,,,25472342,25744575.96,25608458.98,24927874.06,24927874.06,,,25063991.05,25132049.54,25098020.29,24927874.06,25098020.29
200,25256385.63,26277263.01,26787701.69,26532482.35,25256385.63,26532482.35,,,25800853.56,26073087.53,25936970.55,25256385.63,25256385.63,,,25392502.61,25460561.11,25426531.86,25256385.63,25426531.86
201,25482124.07,26503001.45,27013440.14,26758220.79,25482124.07,26758220.79,,,26026592.01,26298825.97,26162708.99,25482124.07,25482124.07,,,25618241.06,25686299.55,25652270.3,25482124.07,25652270.3
202,25839706.58,26860583.96,27371022.65,27115803.3,25839706.58,27115803.3,,,26384174.52,26656408.48,26520291.5,25839706.58,25839706.58,,,25975823.57,26043882.06,26009852.81,25839706.58,26009852.81
203,26269577.94,27290455.32,27800894.01,27545674.66,26269577.94,27545674.66,,,26814045.88,27086279.84,26950162.86,26269577.94,26269577.94,,,26405694.93,26473753.42,26439724.17,26269577.94,26439724.17
204,26781467.54,27802344.91,28312783.6,28057564.26,26781467.54,28057564.26,,,27325935.47,27598169.44,27462052.46,26781467.54,26781467.54,,,26917584.52,26985643.01,26951613.77,26781467.54,26951613.77
205,27297422.68,28318300.05,28828738.74,28573519.4,27297422.68,28573519.4,,,27841890.61,28114124.58,27978007.59,27297422.68,27297422.68,,,27433539.66,27501598.15,27467568.91,27297422.68,27467568.91
206,27613563.69,28634441.07,29144879.75,28889660.41,27613563.69,28889660.41,,,28158031.62,28430265.59,28294148.61,27613563.69,27613563.69,,,27749680.67,27817739.17,27783709.92,27613563.69,27783709.92
207,28146365.74,29167243.12,29677681.8,29422462.46,28146365.74,29422462.46,,,28690833.67,28963067.64,28826950.66,28146365.74,28146365.74,,,28282482.72,28350541.21,28316511.97,28146365.74,28316511.97
208,28605386.07,29626263.45,30136702.13,29881482.79,28605386.07,29881482.79,,,29149854,29422087.97,29285970.99,28605386.07,28605386.07,,,28741503.05,28809561.54,28775532.3,28605386.07,28775532.3
209,29027040.76,30047918.13,30558356.82,30303137.48,29027040.76,30303137.48,,,29571508.69,29843742.66,29707625.67,29027040.76,29027040.76,,,29163157.74,29231216.23,29197186.99,29027040.76,29197186.99
210,29572412.28,30593289.65,31103728.34,30848509,29572412.28,30740112.5,,,30116880.21,30389114.18,30252997.19,29572412.28,29572412.28,,,29708529.26,29776587.75,29742558.51,29572412.28,29742558.51
211,29899508.36,30920385.74,31430824.42,31175605.08,29899508.36,30740112.5,,,30443976.29,30716210.26,30580093.28,29899508.36,29899508.36,,,30035625.34,30103683.84,30069654.59,29899508.36,30069654.59
212,30255820.84,31276698.22,31787136.91,31531917.56,30255820.84,30740112.5,,,30800288.78,31072522.75,30936405.76,30255820.84,30255820.84,,,30391937.83,30459996.32,30425967.07,30255820.84,30255820.84
213,30744835.08,31765712.45,31978926.44,32020931.8,30744835.08,30744835.08,,,31289303.01,31561536.98,31425420,30744835.08,30744835.08,,,30880952.06,30949010.55,30914981.31,30744835.08,30744835.08
214,31115642.25,32136519.63,31978926.44,32391738.97,31115642.25,31115642.25,,,31660110.18,31932344.15,31796227.17,31115642.25,31115642.25,,,31251759.23,31319817.72,31285788.48,31115642.25,31115642.25
215,31562858.47,32583735.85,31978926.44,32838955.19,31562858.47,31562858.47,,,32107326.41,32190477.42,32243443.39,31562858.47,31562858.47,,,31698975.46,31767033.95,31733004.7,31562858.47,31562858.47
216,32055724.76,33076602.14,31978926.44,33310407.14,32055724.76,32055724.76,,,32600192.7,32190477.42,32736309.68,32055724.76,32055724.76,,,32191841.75,32218220.87,32225870.99,32055724.76,32055724.76
217,32580529.58,33601406.96,31978926.44,33310407.14,32580529.58,32580529.58,,,33124997.52,32190477.42,33261114.5,32580529.58,32580529.58,,,32716646.57,32376354.11,32750675.81,32580529.58,32580529.58
218,32792678.01,33813555.39,31978926.44,33310407.14,32792678.01,32792678.01,,,33337145.94,32190477.42,33414651.89,32792678.01,32792678.01,,,32928794.99,32588502.54,32962824.24,32792678.01,32792678.01
219,33127354.99,34148232.37,31978926.44,33310407.14,33127354.99,33127354.99,,,33671822.93,32310653.09,33414651.89,33127354.99,33127354.99,,,33263471.98,32923179.52,33297501.22,33127354.99,33127354.99
220,33357580.59,34378457.96,31978926.44,33310407.14,33357580.59,33357580.59,,,33902048.52,32540878.69,33414651.89,33357580.59,33357580.59,,,33493697.57,33153405.11,33445325.1,33357580.59,33357580.59
221,33553999.37,34574876.75,32022683.31,33310407.14,33553999.37,33553999.37,,,34098467.31,32737297.47,33414651.89,33553999.37,33553999.37,,,33690116.36,33349823.9,33445325.1,33553999.37,33553999.37
222,33733263.67,34754141.05,32201947.61,33310407.14,33733263.67,33733263.67,,,34277731.6,32916561.77,33414651.89,33733263.67,33733263.67,,,33869380.65,33529088.19,33563117.44,33733263.67,33733263.67
223,33919889.76,34940767.13,32388573.7,33310407.14,33919889.76,33919889.76,,,34464357.69,33103187.86,33414651.89,33919889.76,33919889.76,,,34056006.74,33715714.28,33749743.53,33919889.76,33919889.76
224,34140075.33,35160952.71,32608759.27,33310407.14,34140075.33,34140075.33,,,34684543.26,33323373.43,33459490.41,34140075.33,34140075.33,,,34276192.31,33935899.85,33969929.1,34140075.33,34140075.33
225,34238986.78,35259864.16,32707670.72,33310407.14,34238986.78,34238986.78,,,34783454.71,33422284.88,33558401.86,34238986.78,34238986.78,,,34375103.76,34034811.3,34068840.55,34238986.78,34238986.78
226,34327249.78,35348127.15,32795933.71,33310407.14,34327249.78,34327249.78,,,34871717.71,33510547.87,33646664.86,34327249.78,34327249.78,,,34463366.76,34123074.3,34157103.55,34327249.78,34327249.78
227,34324417.5,35345294.88,32793101.44,33310407.14,34324417.5,34324417.5,,,34868885.44,33507715.6,33643832.59,34324417.5,34324417.5,,,34460534.49,34120242.03,34154271.28,34324417.5,34324417.5
228,34408049.59,35428926.96,32876733.52,33310407.14,34408049.59,34408049.59,,,34952517.52,33591347.69,33727464.67,34408049.59,34408049.59,,,34544166.57,34203874.11,34237903.36,34408049.59,34408049.59
229,34343580.43,35364457.81,32812264.37,33310407.14,34343580.43,34343580.43,,,34888048.36,33526878.53,33662995.51,34343580.43,34343580.43,,,34479697.41,34139404.96,34173434.2,34343580.43,34343580.43
230,34177993.87,35198871.25,32646677.81,33310407.14,34177993.87,34177993.87,,,34722461.81,33361291.97,33497408.96,34177993.87,34177993.87,,,34314110.86,33973818.4,34007847.64,34177993.87,34177993.87
231,34090409.97,35111287.35,32559093.91,33310407.14,34090409.97,34090409.97,,,34634877.91,33273708.07,33414651.89,34090409.97,34090409.97,,,34226526.96,33886234.5,33920263.74,34090409.97,34090409.97
232,33946238.95,34967116.33,32414922.89,33310407.14,33946238.95,33946238.95,,,34490706.88,33129537.05,33414651.89,33946238.95,33946238.95,,,34082355.93,33742063.47,33776092.72,33946238.95,33946238.95
233,33831506.59,34852383.97,32300190.53,33310407.14,33831506.59,33831506.59,,,34375974.53,33014804.69,33414651.89,33831506.59,33831506.59,,,33967623.58,33627331.12,33661360.36,33831506.59,33831506.59
234,33663107.9,34683985.27,32131791.83,33310407.14,33663107.9,33663107.9,,,34207575.83,32846406,33414651.89,33663107.9,33663107.9,,,33799224.88,33458932.42,33492961.67,33663107.9,33663107.9
235,33543093.86,34563971.23,32011777.8,33310407.14,33543093.86,33543093.86,,,34087561.79,32726391.96,33414651.89,33543093.86,33543093.86,,,33679210.84,33338918.38,33445325.1,33543093.86,33543093.86
236,33400407.44,34421284.82,31978926.44,33310407.14,33400407.44,33400407.44,,,33944875.37,32583705.54,33414651.89,33400407.44,33400407.44,,,33536524.42,33196231.96,33445325.1,33400407.44,33400407.44
237,33367411.19,34388288.57,31978926.44,33310407.14,33367411.19,33367411.19,,,33911879.12,32550709.29,33414651.89,33367411.19,33367411.19,,,33503528.17,33163235.72,33445325.1,33367411.19,33367411.19
238,33283352.76,34304230.14,31978926.44,33310407.14,33283352.76,33283352.76,,,33827820.7,32466650.86,33414651.89,33283352.76,33283352.76,,,33419469.75,33079177.29,33445325.1,33283352.76,33283352.76
239,33343270.65,34364148.03,31978926.44,33310407.14,33343270.65,33343270.65,,,33887738.59,32526568.75,33414651.89,33343270.65,33343270.65,,,33479387.64,33139095.18,33445325.1,33343270.65,33343270.65
240,33277031.82,34297909.19,31978926.44,33310407.14,33277031.82,33277031.82,,,33821499.75,32460329.92,33414651.89,33277031.82,33277031.82,,,33413148.8,33072856.34,33445325.1,33277031.82,33277031.82
241,33361119.83,34381997.21,31978926.44,33310407.14,33361119.83,33361119.83,,,33905587.77,32544417.93,33414651.89,33361119.83,33361119.83,,,33497236.82,33156944.36,33445325.1,33361119.83,33361119.83
242,33349239.81,34370117.18,31978926.44,33310407.14,33349239.81,33349239.81,,,33893707.74,32532537.91,33414651.89,33349239.81,33349239.81,,,33485356.79,33145064.33,33445325.1,33349239.81,33349239.81
243,33322689.58,34343566.95,31978926.44,33310407.14,33322689.58,33322689.58,,,33867157.51,32505987.67,33414651.89,33322689.58,33322689.58,,,33458806.56,33118514.1,33445325.1,33322689.58,33322689.58
244,33311954.12,34332831.5,31978926.44,33310407.14,33311954.12,33311954.12,,,33856422.06,32495252.22,33414651.89,33311954.12,33311954.12,,,33448071.11,33107778.65,33445325.1,33311954.12,33311954.12
245,33388258.91,34409136.28,31978926.44,33310407.14,33388258.91,33388258.91,,,33932726.84,32571557.01,33414651.89,33388258.91,33388258.91,,,33524375.89,33184083.43,33445325.1,33388258.91,33388258.91
246,33438063.44,34458940.82,31978926.44,33310407.14,33438063.44,33438063.44,,,33982531.38,32621361.54,33414651.89,33438063.44,33438063.44,,,33574180.43,33233887.97,33445325.1,33438063.44,33438063.44
247,33465342.74,34486220.12,31978926.44,33310407.14,33465342.74,33465342.74,,,34009810.67,32648640.84,33414651.89,33465342.74,33465342.74,,,33601459.72,33261167.26,33445325.1,33465342.74,33465342.74
248,33444682.26,34465559.63,31978926.44,33310407.14,33444682.26,33444682.26,,,33989150.19,32627980.36,33414651.89,33444682.26,33444682.26,,,33580799.24,33240506.78,33445325.1,33444682.26,33444682.26
249,33507999.98,34528877.35,31978926.44,33310407.14,33507999.98,33507999.98,,,34052467.91,32691298.08,33414651.89,33507999.98,33507999.98,,,33644116.96,33303824.5,33445325.1,33507999.98,33507999.98
250,33558713.73,34579591.1,32027397.67,33310407.14,33558713.73,33558713.73,,,34103181.66,32742011.83,33414651.89,33558713.73,33558713.73,,,33694830.71,33354538.25,33445325.1,33558713.73,33558713.73
251,33706548.85,34727426.22,32175232.78,33310407.14,33706548.85,33706548.85,,,34251016.78,32889846.95,33414651.89,33706548.85,33706548.85,,,33842665.83,33502373.37,33536402.62,33706548.85,33706548.85
252,33735591.58,34756468.96,32204275.52,33310407.14,33735591.58,33735591.58,,,34280059.52,32918889.68,33414651.89,33735591.58,33735591.58,,,33871708.57,33531416.11,33565445.36,33735591.58,33735591.58
253,33753339.8,34774217.18,32222023.74,33310407.14,33753339.8,33753339.8,,,34297807.74,32936637.9,33414651.89,33753339.8,33753339.8,,,33889456.79,33549164.33,33583193.57,33753339.8,33753339.8
254,33791323.44,34812200.81,32260007.37,33310407.14,33791323.44,33791323.44,,,34335791.37,32974621.54,33414651.89,33791323.44,33791323.44,,,33927440.42,33587147.96,33621177.21,33791323.44,33791323.44
255,33882131.18,34903008.56,32350815.12,33310407.14,33882131.18,33882131.18,,,34426599.12,33065429.28,33414651.89,33882131.18,33882131.18,,,34018248.17,33677955.71,33711984.95,33882131.18,33882131.18
256,33835403.33,34856280.7,32304087.26,33310407.14,33835403.33,33835403.33,,,34379871.26,33018701.43,33414651.89,33835403.33,33835403.33,,,33971520.31,33631227.85,33665257.1,33835403.33,33835403.33
257,33821253.2,34842130.58,32289937.14,33310407.14,33821253.2,33821253.2,,,34365721.14,33004551.3,33414651.89,33821253.2,33821253.2,,,33957370.19,33617077.73,33651106.97,33821253.2,33821253.2
